answer,description,object,options,raw,type,formatted_options,transformed_sent
"Because of your clothing you shall you be called Bearskin.""",Какое предложение верно?,"Because of your clothing you shall you be called Bearskin.""","['Because of your garments you shall you be referred Bearskin.""', 'Because of your shoes you shall you be also Bearskin.""', 'Because of your clothing you shall you be called Bearskin.""']","Because of your clothing you shall you be called Bearskin.""",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-0"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-0"", ""p33"")'
                                     value=""Because of your garments you shall you be referred Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-0"">Because of your garments you shall you be referred Bearskin.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-1"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-1"", ""p33"")'
                                     value=""Because of your shoes you shall you be also Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-1"">Because of your shoes you shall you be also Bearskin.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-2"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-2"", ""p33"")'
                                     value=""Because of your clothing you shall you be called Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-2"">Because of your clothing you shall you be called Bearskin.""
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-0"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-0"", ""p33"")'
                                     value=""Because of your garments you shall you be referred Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-0"">Because of your garments you shall you be referred Bearskin.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-1"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-1"", ""p33"")'
                                     value=""Because of your shoes you shall you be also Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-1"">Because of your shoes you shall you be also Bearskin.""
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r33-2"" name=""rname33"" 
                                     onchange='myFunction(""Because of your clothing you shall you be called Bearskin.\&quot;"", ""r33-2"", ""p33"")'
                                     value=""Because of your clothing you shall you be called Bearskin.&quot;"">
                                   <label class=""form-check-label"" for=""r33-2"">Because of your clothing you shall you be called Bearskin.""
                                   </label></div>"
With that the devil disappeared.,Какое предложение верно?,With that the devil disappeared.,"['With that the devil disappeared.', 'With that the angels fled.', 'With that the demons mysteriously.']",With that the devil disappeared.,select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-0"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-0"", ""p34"")'
                                     value=""With that the devil disappeared."">
                                   <label class=""form-check-label"" for=""r34-0"">With that the devil disappeared.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-1"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-1"", ""p34"")'
                                     value=""With that the angels fled."">
                                   <label class=""form-check-label"" for=""r34-1"">With that the angels fled.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-2"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-2"", ""p34"")'
                                     value=""With that the demons mysteriously."">
                                   <label class=""form-check-label"" for=""r34-2"">With that the demons mysteriously.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-0"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-0"", ""p34"")'
                                     value=""With that the devil disappeared."">
                                   <label class=""form-check-label"" for=""r34-0"">With that the devil disappeared.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-1"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-1"", ""p34"")'
                                     value=""With that the angels fled."">
                                   <label class=""form-check-label"" for=""r34-1"">With that the angels fled.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r34-2"" name=""rname34"" 
                                     onchange='myFunction(""With that the devil disappeared."", ""r34-2"", ""p34"")'
                                     value=""With that the demons mysteriously."">
                                   <label class=""form-check-label"" for=""r34-2"">With that the demons mysteriously.
                                   </label></div>"
found,Выберите слово,found,"['been', 'discovered', 'found']","The soldier put on the jacket, immediately reached into the pocket, and found that the promise was really true.",select_word,"<select class=""form-select"" id=""s35"" onchange=""myFunction('found', 's35', 'p35')""><option selected>–––</option><option value=""been"">been</option><option value=""discovered"">discovered</option><option value=""found"">found</option></select>","The soldier put on the jacket, immediately reached into the pocket, and <select class=""form-select"" id=""s35"" onchange=""myFunction('found', 's35', 'p35')""><option selected>–––</option><option value=""been"">been</option><option value=""discovered"">discovered</option><option value=""found"">found</option></select> that the promise was really true."
Then,Заполните пропуск,Then,[],Then he put on the bearskin and went forth into the world.,missing_word,"<input class=""form-control"" type=""text"" id=""t36"" onchange=""myFunction('Then', 't36', 'p36')"">","<input class=""form-control"" type=""text"" id=""t36"" onchange=""myFunction('Then', 't36', 'p36')""> he put on the bearskin and went forth into the world."
 , , , ,"He did whatever he pleased, refraining from nothing that did him good and his money harm.", , ,"He did whatever he pleased, refraining from nothing that did him good and his money harm."
looked,Заполните пропуск,looked,[],"During the first year his appearance was still acceptable, but during the second he looked like a monster.",missing_word,"<input class=""form-control"" type=""text"" id=""t38"" onchange=""myFunction('looked', 't38', 'p38')"">","During the first year his appearance was still acceptable, but during the second he <input class=""form-control"" type=""text"" id=""t38"" onchange=""myFunction('looked', 't38', 'p38')""> like a monster."
entire,Выберите слово,entire,"['whole', 'entire', 'part']",His hair covered nearly his entire face.,select_word,"<select class=""form-select"" id=""s39"" onchange=""myFunction('entire', 's39', 'p39')""><option selected>–––</option><option value=""whole"">whole</option><option value=""entire"">entire</option><option value=""part"">part</option></select>","His hair covered nearly his <select class=""form-select"" id=""s39"" onchange=""myFunction('entire', 's39', 'p39')""><option selected>–––</option><option value=""whole"">whole</option><option value=""entire"">entire</option><option value=""part"">part</option></select> face."
felt,Заполните пропуск,felt,[],His beard looked like a piece of coarse felt cloth.,missing_word,"<input class=""form-control"" type=""text"" id=""t40"" onchange=""myFunction('felt', 't40', 'p40')"">","His beard looked like a piece of coarse <input class=""form-control"" type=""text"" id=""t40"" onchange=""myFunction('felt', 't40', 'p40')""> cloth."
"His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.",Какое предложение верно?,"His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.","['His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.', 'His ears have paws, and his hand was but covering with pavement that if butmeone have trees kirke on it, it would have cultivated.', 'His lips were paws, and his forced was too surrounding with mud that if toomeone were trees datura on it, it would have grow.']","His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-0"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-0"", ""p41"")'
                                     value=""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."">
                                   <label class=""form-check-label"" for=""r41-0"">His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-1"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-1"", ""p41"")'
                                     value=""His ears have paws, and his hand was but covering with pavement that if butmeone have trees kirke on it, it would have cultivated."">
                                   <label class=""form-check-label"" for=""r41-1"">His ears have paws, and his hand was but covering with pavement that if butmeone have trees kirke on it, it would have cultivated.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-2"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-2"", ""p41"")'
                                     value=""His lips were paws, and his forced was too surrounding with mud that if toomeone were trees datura on it, it would have grow."">
                                   <label class=""form-check-label"" for=""r41-2"">His lips were paws, and his forced was too surrounding with mud that if toomeone were trees datura on it, it would have grow.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-0"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-0"", ""p41"")'
                                     value=""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."">
                                   <label class=""form-check-label"" for=""r41-0"">His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-1"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-1"", ""p41"")'
                                     value=""His ears have paws, and his hand was but covering with pavement that if butmeone have trees kirke on it, it would have cultivated."">
                                   <label class=""form-check-label"" for=""r41-1"">His ears have paws, and his hand was but covering with pavement that if butmeone have trees kirke on it, it would have cultivated.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r41-2"" name=""rname41"" 
                                     onchange='myFunction(""His fingers had claws, and his face was so covered with dirt that if someone had planted cress on it, it would have grown."", ""r41-2"", ""p41"")'
                                     value=""His lips were paws, and his forced was too surrounding with mud that if toomeone were trees datura on it, it would have grow."">
                                   <label class=""form-check-label"" for=""r41-2"">His lips were paws, and his forced was too surrounding with mud that if toomeone were trees datura on it, it would have grow.
                                   </label></div>"
Everyone who saw him ran away.,Какое предложение верно?,Everyone who saw him ran away.,"['Everyone who took him run out.', 'Everyone who forced him running back.', 'Everyone who saw him ran away.']",Everyone who saw him ran away.,select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-0"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-0"", ""p42"")'
                                     value=""Everyone who took him run out."">
                                   <label class=""form-check-label"" for=""r42-0"">Everyone who took him run out.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-1"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-1"", ""p42"")'
                                     value=""Everyone who forced him running back."">
                                   <label class=""form-check-label"" for=""r42-1"">Everyone who forced him running back.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-2"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-2"", ""p42"")'
                                     value=""Everyone who saw him ran away."">
                                   <label class=""form-check-label"" for=""r42-2"">Everyone who saw him ran away.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-0"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-0"", ""p42"")'
                                     value=""Everyone who took him run out."">
                                   <label class=""form-check-label"" for=""r42-0"">Everyone who took him run out.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-1"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-1"", ""p42"")'
                                     value=""Everyone who forced him running back."">
                                   <label class=""form-check-label"" for=""r42-1"">Everyone who forced him running back.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r42-2"" name=""rname42"" 
                                     onchange='myFunction(""Everyone who saw him ran away."", ""r42-2"", ""p42"")'
                                     value=""Everyone who saw him ran away."">
                                   <label class=""form-check-label"" for=""r42-2"">Everyone who saw him ran away.
                                   </label></div>"
poor,Выберите слово,poor,"['poor', 'especially', 'lack']","However, because everywhere he went he gave money to the poor to pray that he might not die during the seven years, and because he paid well for everything, he always found shelter.",select_word,"<select class=""form-select"" id=""s43"" onchange=""myFunction('poor', 's43', 'p43')""><option selected>–––</option><option value=""poor"">poor</option><option value=""especially"">especially</option><option value=""lack"">lack</option></select>","However, because everywhere he went he gave money to the <select class=""form-select"" id=""s43"" onchange=""myFunction('poor', 's43', 'p43')""><option selected>–––</option><option value=""poor"">poor</option><option value=""especially"">especially</option><option value=""lack"">lack</option></select> to pray that he might not die during the seven years, and because he paid well for everything, he always found shelter."
In the fourth year he arrived an inn.,Какое предложение верно?,In the fourth year he arrived an inn.,"['In the fourth year he arrived an inn.', 'In the fifth years he returned an tavern.', 'In the fifth months he fled an tavern.']",In the fourth year he arrived an inn.,select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-0"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-0"", ""p44"")'
                                     value=""In the fourth year he arrived an inn."">
                                   <label class=""form-check-label"" for=""r44-0"">In the fourth year he arrived an inn.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-1"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-1"", ""p44"")'
                                     value=""In the fifth years he returned an tavern."">
                                   <label class=""form-check-label"" for=""r44-1"">In the fifth years he returned an tavern.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-2"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-2"", ""p44"")'
                                     value=""In the fifth months he fled an tavern."">
                                   <label class=""form-check-label"" for=""r44-2"">In the fifth months he fled an tavern.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-0"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-0"", ""p44"")'
                                     value=""In the fourth year he arrived an inn."">
                                   <label class=""form-check-label"" for=""r44-0"">In the fourth year he arrived an inn.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-1"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-1"", ""p44"")'
                                     value=""In the fifth years he returned an tavern."">
                                   <label class=""form-check-label"" for=""r44-1"">In the fifth years he returned an tavern.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r44-2"" name=""rname44"" 
                                     onchange='myFunction(""In the fourth year he arrived an inn."", ""r44-2"", ""p44"")'
                                     value=""In the fifth months he fled an tavern."">
                                   <label class=""form-check-label"" for=""r44-2"">In the fifth months he fled an tavern.
                                   </label></div>"
"The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.",Какое предложение верно?,"The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.","['The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.', 'The optometrist would not do him able, refuses but to do him been a time in the stability because he was know he would confuse the dogs.', 'The impostor would not wo him entering, failing though to wo him they a time in the deteriorating because he was worried he would lest the horse.']","The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-0"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-0"", ""p45"")'
                                     value=""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."">
                                   <label class=""form-check-label"" for=""r45-0"">The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-1"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-1"", ""p45"")'
                                     value=""The optometrist would not do him able, refuses but to do him been a time in the stability because he was know he would confuse the dogs."">
                                   <label class=""form-check-label"" for=""r45-1"">The optometrist would not do him able, refuses but to do him been a time in the stability because he was know he would confuse the dogs.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-2"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-2"", ""p45"")'
                                     value=""The impostor would not wo him entering, failing though to wo him they a time in the deteriorating because he was worried he would lest the horse."">
                                   <label class=""form-check-label"" for=""r45-2"">The impostor would not wo him entering, failing though to wo him they a time in the deteriorating because he was worried he would lest the horse.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-0"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-0"", ""p45"")'
                                     value=""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."">
                                   <label class=""form-check-label"" for=""r45-0"">The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-1"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-1"", ""p45"")'
                                     value=""The optometrist would not do him able, refuses but to do him been a time in the stability because he was know he would confuse the dogs."">
                                   <label class=""form-check-label"" for=""r45-1"">The optometrist would not do him able, refuses but to do him been a time in the stability because he was know he would confuse the dogs.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r45-2"" name=""rname45"" 
                                     onchange='myFunction(""The innkeeper would not let him enter, refusing even to let him have a place in the stable because he was afraid he would frighten the horses."", ""r45-2"", ""p45"")'
                                     value=""The impostor would not wo him entering, failing though to wo him they a time in the deteriorating because he was worried he would lest the horse."">
                                   <label class=""form-check-label"" for=""r45-2"">The impostor would not wo him entering, failing though to wo him they a time in the deteriorating because he was worried he would lest the horse.
                                   </label></div>"
innkeeper,Заполните пропуск,innkeeper,[],"However, when Bearskin reached into his pocket and pulled out a handful of ducats, the innkeeper softened and gave him a room in an outbuilding.",missing_word,"<input class=""form-control"" type=""text"" id=""t46"" onchange=""myFunction('innkeeper', 't46', 'p46')"">","However, when Bearskin reached into his pocket and pulled out a handful of ducats, the <input class=""form-control"" type=""text"" id=""t46"" onchange=""myFunction('innkeeper', 't46', 'p46')""> softened and gave him a room in an outbuilding."
however,Заполните пропуск,however,[],"Bearskin, however, had to promise not to let himself be seen, lest the inn should get a bad name.",missing_word,"<input class=""form-control"" type=""text"" id=""t47"" onchange=""myFunction('however', 't47', 'p47')"">","Bearskin, <input class=""form-control"" type=""text"" id=""t47"" onchange=""myFunction('however', 't47', 'p47')"">, had to promise not to let himself be seen, lest the inn should get a bad name."
"One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.",Какое предложение верно?,"One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.","['One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.', 'One afternoon Bearskin was staring almost, afraid with all his bleeding that the seven since were forced, he screams a noises moans in a fled basement.', 'One sunday Bearskin was sit now, intending with all his pain that the seven year were last, he listened a sounds hollering in a bordering bedroom.']","One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-0"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-0"", ""p48"")'
                                     value=""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."">
                                   <label class=""form-check-label"" for=""r48-0"">One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-1"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-1"", ""p48"")'
                                     value=""One afternoon Bearskin was staring almost, afraid with all his bleeding that the seven since were forced, he screams a noises moans in a fled basement."">
                                   <label class=""form-check-label"" for=""r48-1"">One afternoon Bearskin was staring almost, afraid with all his bleeding that the seven since were forced, he screams a noises moans in a fled basement.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-2"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-2"", ""p48"")'
                                     value=""One sunday Bearskin was sit now, intending with all his pain that the seven year were last, he listened a sounds hollering in a bordering bedroom."">
                                   <label class=""form-check-label"" for=""r48-2"">One sunday Bearskin was sit now, intending with all his pain that the seven year were last, he listened a sounds hollering in a bordering bedroom.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-0"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-0"", ""p48"")'
                                     value=""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."">
                                   <label class=""form-check-label"" for=""r48-0"">One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-1"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-1"", ""p48"")'
                                     value=""One afternoon Bearskin was staring almost, afraid with all his bleeding that the seven since were forced, he screams a noises moans in a fled basement."">
                                   <label class=""form-check-label"" for=""r48-1"">One afternoon Bearskin was staring almost, afraid with all his bleeding that the seven since were forced, he screams a noises moans in a fled basement.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r48-2"" name=""rname48"" 
                                     onchange='myFunction(""One evening Bearskin was sitting alone, wishing with all his heart that the seven years were over, he heard a loud moaning in a neighboring room."", ""r48-2"", ""p48"")'
                                     value=""One sunday Bearskin was sit now, intending with all his pain that the seven year were last, he listened a sounds hollering in a bordering bedroom."">
                                   <label class=""form-check-label"" for=""r48-2"">One sunday Bearskin was sit now, intending with all his pain that the seven year were last, he listened a sounds hollering in a bordering bedroom.
                                   </label></div>"
"He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.",Какое предложение верно?,"He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.","['He suffered a sufferingless suffering, sometimes he shortly the bathroom and caused an 17-year dead sobbing angered and struck his hand into above his from.', 'He has a empathetic brain, it he reopened the floor and again an 17-year boy wailing fiercely and unusual his face come above his chief.', 'He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.']","He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-0"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-0"", ""p49"")'
                                     value=""He suffered a sufferingless suffering, sometimes he shortly the bathroom and caused an 17-year dead sobbing angered and struck his hand into above his from."">
                                   <label class=""form-check-label"" for=""r49-0"">He suffered a sufferingless suffering, sometimes he shortly the bathroom and caused an 17-year dead sobbing angered and struck his hand into above his from.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-1"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-1"", ""p49"")'
                                     value=""He has a empathetic brain, it he reopened the floor and again an 17-year boy wailing fiercely and unusual his face come above his chief."">
                                   <label class=""form-check-label"" for=""r49-1"">He has a empathetic brain, it he reopened the floor and again an 17-year boy wailing fiercely and unusual his face come above his chief.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-2"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-2"", ""p49"")'
                                     value=""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."">
                                   <label class=""form-check-label"" for=""r49-2"">He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-0"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-0"", ""p49"")'
                                     value=""He suffered a sufferingless suffering, sometimes he shortly the bathroom and caused an 17-year dead sobbing angered and struck his hand into above his from."">
                                   <label class=""form-check-label"" for=""r49-0"">He suffered a sufferingless suffering, sometimes he shortly the bathroom and caused an 17-year dead sobbing angered and struck his hand into above his from.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-1"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-1"", ""p49"")'
                                     value=""He has a empathetic brain, it he reopened the floor and again an 17-year boy wailing fiercely and unusual his face come above his chief."">
                                   <label class=""form-check-label"" for=""r49-1"">He has a empathetic brain, it he reopened the floor and again an 17-year boy wailing fiercely and unusual his face come above his chief.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r49-2"" name=""rname49"" 
                                     onchange='myFunction(""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."", ""r49-2"", ""p49"")'
                                     value=""He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head."">
                                   <label class=""form-check-label"" for=""r49-2"">He had a compassionate heart, so he opened the door and saw an old man weeping bitterly and striking his hands together above his head.
                                   </label></div>"
nearer,Выберите слово,nearer,"['nearer', 'farther', 'closer']","Bearskin went nearer, but the man jumped to his feet and tried to run away.",select_word,"<select class=""form-select"" id=""s50"" onchange=""myFunction('nearer', 's50', 'p50')""><option selected>–––</option><option value=""nearer"">nearer</option><option value=""farther"">farther</option><option value=""closer"">closer</option></select>","Bearskin went <select class=""form-select"" id=""s50"" onchange=""myFunction('nearer', 's50', 'p50')""><option selected>–––</option><option value=""nearer"">nearer</option><option value=""farther"">farther</option><option value=""closer"">closer</option></select>, but the man jumped to his feet and tried to run away."
voice,Заполните пропуск,voice,[],"At last, hearing a human voice, the man let Bearskin talk to him, and with friendly words Bearskin succeeded in getting the old man to reveal the cause of his grief.",missing_word,"<input class=""form-control"" type=""text"" id=""t51"" onchange=""myFunction('voice', 't51', 'p51')"">","At last, hearing a human <input class=""form-control"" type=""text"" id=""t51"" onchange=""myFunction('voice', 't51', 'p51')"">, the man let Bearskin talk to him, and with friendly words Bearskin succeeded in getting the old man to reveal the cause of his grief."
